CHANNEL,INPUT [mV]
1,1.227
2,1.811
3,2.395
4,2.979
5,3.563
6,4.147
7,4.731
8,5.315
9,5.899
10,6.483
11,7.067
12,7.651
13,8.235
14,8.819
15,9.403
16,9.987
17,10.571
18,11.155
19,11.739
20,12.323
21,12.907
22,13.491
23,14.075
24,14.659
25,15.243
26,15.827
27,16.411
28,16.995
29,17.579
30,18.163
31,18.747
32,19.331
33,19.915
34,20.512
35,21.111
36,21.71
37,22.309
38,22.908
39,23.507
40,24.106
41,24.705
42,25.304
43,25.903
44,26.502
45,27.101
46,27.699
47,28.298
48,28.897
49,29.496
50,30.096
51,30.697
52,31.298
53,31.899
54,32.5
55,33.101
56,33.702
57,34.303
58,34.904
59,35.505
60,36.106
61,36.707
62,37.308
63,37.91
64,38.511
65,39.112
66,39.713
67,40.314
68,40.914
69,41.515
70,42.116
71,42.716
72,43.317
73,43.917
74,44.518
75,45.119
76,45.719
77,46.32
78,46.921
79,47.521
80,48.122
81,48.723
82,49.323
83,49.924
84,50.522
85,51.12
86,51.718
87,52.317
88,52.915
89,53.513
90,54.111
91,54.709
92,55.307
93,55.905
94,56.503
95,57.101
96,57.699
97,58.297
98,58.895
99,59.494
100,60.092
101,60.694
102,61.297
103,61.899
104,62.501
105,63.103
106,63.706
107,64.308
108,64.91
109,65.512
110,66.115
111,66.717
112,67.319
113,67.921
114,68.524
115,69.126
116,69.728
117,70.33
118,70.931
119,71.533
120,72.134
121,72.736
122,73.337
123,73.938
124,74.54
125,75.141
126,75.743
127,76.344
128,76.945
129,77.547
130,78.148
131,78.75
132,79.351
133,79.952
134,80.553
135,81.153
136,81.753
137,82.353
138,82.953
139,83.553
140,84.153
141,84.753
142,85.353
143,85.953
144,86.553
145,87.153
146,87.753
147,88.353
148,88.953
149,89.553
150,90.154
151,90.756
152,91.358
153,91.961
154,92.563
155,93.166
156,93.768
157,94.371
158,94.973
159,95.576
160,96.178
161,96.78
162,97.383
163,97.985
164,98.588
165,99.19
166,99.793
167,100.393
168,100.993
169,101.594
170,102.194
171,102.794
172,103.394
173,103.994
174,104.594
175,105.194
176,105.794
177,106.394
178,106.994
179,107.594
180,108.194
181,108.794
182,109.394
183,109.994
184,110.596
185,111.197
186,111.799
187,112.401
188,113.002
189,113.604
190,114.205
191,114.807
192,115.408
193,116.01
194,116.612
195,117.213
196,117.815
197,118.416
198,119.018
199,119.619
200,120.222
201,120.825
202,121.428
203,122.031
204,122.634
205,123.237
206,123.84
207,124.443
208,125.047
209,125.65
210,126.253
211,126.856
212,127.459
213,128.062
214,128.665
215,129.268
216,129.872
217,130.471
218,131.07
219,131.668
220,132.267
221,132.865
222,133.464
223,134.062
224,134.661
225,135.26
226,135.858
227,136.457
228,137.055
229,137.654
230,138.252
231,138.851
232,139.45
233,140.048
234,140.651
235,141.253
236,141.855
237,142.458
238,143.06
239,143.662
240,144.265
241,144.867
242,145.469
243,146.072
244,146.674
245,147.276
246,147.879
247,148.481
248,149.084
249,149.686
250,150.326
251,151.006
252,151.687
253,152.367
254,153.048
255,153.728
256,154.409
257,155.089
258,155.77
259,156.45
260,157.131
261,157.811
262,158.492
263,159.172
264,159.853
265,160.473
266,161.076
267,161.679
268,162.282
269,162.886
270,163.489
271,164.092
272,164.695
273,165.298
274,165.902
275,166.505
276,167.108
277,167.711
278,168.314
279,168.918
280,169.521
281,170.124
282,170.729
283,171.334
284,171.939
285,172.544
286,173.149
287,173.754
288,174.359
289,174.964
290,175.569
291,176.174
292,176.779
293,177.384
294,177.989
295,178.594
296,179.199
297,179.804
298,180.41
299,181.016
300,181.622
301,182.228
302,182.834
303,183.441
304,184.047
305,184.653
306,185.259
307,185.865
308,186.471
309,187.077
310,187.684
311,188.29
312,188.896
313,189.502
314,190.108
315,190.713
316,191.318
317,191.924
318,192.529
319,193.134
320,193.739
321,194.344
322,194.95
323,195.555
324,196.16
325,196.765
326,197.37
327,197.976
328,198.581
329,199.186
330,199.791
331,200.398
332,201.006
333,201.614
334,202.222
335,202.829
336,203.437
337,204.045
338,204.653
339,205.261
340,205.868
341,206.476
342,207.084
343,207.692
344,208.3
345,208.907
346,209.515
347,210.123
348,210.728
349,211.334
350,211.939
351,212.545
352,213.15
353,213.756
354,214.361
355,214.967
356,215.572
357,216.178
358,216.783
359,217.389
360,217.994
361,218.6
362,219.205
363,219.811
364,220.417
365,221.023
366,221.63
367,222.236
368,222.843
369,223.449
370,224.056
371,224.662
372,225.269
373,225.875
374,226.482
375,227.088
376,227.695
377,228.301
378,228.907
379,229.514
380,230.12
381,230.726
382,231.331
383,231.937
384,232.542
385,233.148
386,233.753
387,234.359
388,234.964
389,235.57
390,236.175
391,236.781
392,237.386
393,237.992
394,238.598
395,239.203
396,239.809
397,240.415
398,241.021
399,241.627
400,242.234
401,242.84
402,243.447
403,244.053
404,244.659
405,245.266
406,245.872
407,246.479
408,247.085
409,247.691
410,248.298
411,248.904
412,249.51
413,250.117
414,250.723
415,251.328
416,251.934
417,252.54
418,253.146
419,253.752
420,254.358
421,254.964
422,255.569
423,256.175
424,256.781
425,257.387
426,257.993
427,258.599
428,259.205
429,259.81
430,260.416
431,261.022
432,261.628
433,262.234
434,262.84
435,263.446
436,264.051
437,264.657
438,265.263
439,265.869
440,266.475
441,267.081
442,267.687
443,268.292
444,268.898
445,269.504
446,270.11
447,270.716
448,271.322
449,271.928
450,272.533
451,273.139
452,273.745
453,274.351
454,274.957
455,275.563
456,276.169
457,276.774
458,277.38
459,277.986
460,278.592
461,279.198
462,279.804
463,280.41
464,281.015
465,281.621
466,282.227
467,282.833
468,283.439
469,284.045
470,284.651
471,285.256
472,285.862
473,286.468
474,287.074
475,287.68
476,288.286
477,288.892
478,289.497
479,290.103
480,290.709
481,291.315
482,291.921
483,292.527
484,293.133
485,293.738
486,294.344
487,294.95
488,295.556
489,296.162
490,296.768
491,297.374
492,297.979
493,298.585
494,299.191
495,299.797
496,300.361
497,300.903
498,301.446
499,301.988
500,302.531
501,303.074
502,303.616
503,304.159
504,304.701
505,305.244
506,305.786
507,306.329
508,306.871
509,307.414
510,307.957
511,308.499
512,309.042
513,309.584
514,310.127
515,310.669
516,311.212
517,311.755
518,312.297
519,312.84
520,313.382
521,313.925
522,314.467
523,315.01
524,315.552
525,316.095
526,316.638
527,317.18
528,317.723
529,318.265
530,318.808
531,319.35
532,319.893
533,320.436
534,320.978
535,321.521
536,322.063
537,322.606
538,323.148
539,323.691
540,324.233
541,324.776
542,325.319
543,325.861
544,326.404
545,326.946
546,327.489
547,328.031
548,328.574
549,329.117
550,329.659
551,330.202
552,330.744
553,331.287
554,331.829
555,332.372
556,332.915
557,333.457
558,334.0
559,334.542
560,335.085
561,335.627
562,336.17
563,336.712
564,337.255
565,337.798
566,338.34
567,338.883
568,339.425
569,339.968
570,340.51
571,341.053
572,341.596
573,342.138
574,342.681
575,343.223
576,343.766
577,344.308
578,344.851
579,345.393
580,345.936
581,346.479
582,347.021
583,347.564
584,348.106
585,348.649
586,349.191
587,349.734
588,350.303
589,350.899
590,351.494
591,352.089
592,352.684
593,353.279
594,353.874
595,354.47
596,355.065
597,355.66
598,356.255
599,356.85
600,357.446
601,358.041
602,358.636
603,359.231
604,359.826
605,360.421
606,361.017
607,361.612
608,362.207
609,362.802
610,363.397
611,363.993
612,364.588
613,365.183
614,365.778
615,366.373
616,366.968
617,367.564
618,368.159
619,368.754
620,369.349
621,369.944
622,370.54
623,371.135
624,371.73
625,372.325
626,372.92
627,373.515
628,374.111
629,374.706
630,375.301
631,375.896
632,376.491
633,377.087
634,377.682
635,378.277
636,378.872
637,379.467
638,380.063
639,380.658
640,381.253
641,381.848
642,382.443
643,383.038
644,383.634
645,384.229
646,384.824
647,385.419
648,386.014
649,386.61
650,387.205
651,387.8
652,388.395
653,388.99
654,389.585
655,390.181
656,390.776
657,391.371
658,391.966
659,392.561
660,393.157
661,393.752
662,394.347
663,394.942
664,395.537
665,396.132
666,396.728
667,397.323
668,397.918
669,398.513
670,399.108
671,399.704
672,400.299
673,400.894
674,401.489
675,402.085
676,402.68
677,403.275
678,403.87
679,404.466
680,405.061
681,405.656
682,406.252
683,406.847
684,407.442
685,408.037
686,408.633
687,409.228
688,409.823
689,410.419
690,411.014
691,411.609
692,412.204
693,412.8
694,413.395
695,413.99
696,414.586
697,415.181
698,415.776
699,416.371
700,416.967
701,417.562
702,418.157
703,418.753
704,419.348
705,419.943
706,420.538
707,421.134
708,421.729
709,422.324
710,422.92
711,423.515
712,424.11
713,424.705
714,425.301
715,425.896
716,426.491
717,427.087
718,427.682
719,428.277
720,428.872
721,429.468
722,430.063
723,430.658
724,431.254
725,431.849
726,432.444
727,433.039
728,433.635
729,434.23
730,434.825
731,435.421
732,436.016
733,436.611
734,437.206
735,437.802
736,438.397
737,438.992
738,439.588
739,440.183
740,440.778
741,441.373
742,441.969
743,442.564
744,443.159
745,443.755
746,444.35
747,444.945
748,445.54
749,446.136
750,446.731
751,447.326
752,447.922
753,448.517
754,449.112
755,449.707
756,450.303
757,450.899
758,451.496
759,452.092
760,452.688
761,453.284
762,453.881
763,454.477
764,455.073
765,455.669
766,456.265
767,456.862
768,457.458
769,458.054
770,458.65
771,459.247
772,459.843
773,460.439
774,461.035
775,461.631
776,462.228
777,462.824
778,463.42
779,464.016
780,464.613
781,465.209
782,465.805
783,466.401
784,466.997
785,467.594
786,468.19
787,468.786
788,469.382
789,469.979
790,470.575
791,471.171
792,471.767
793,472.363
794,472.96
795,473.556
796,474.152
797,474.748
798,475.345
799,475.941
800,476.537
801,477.133
802,477.729
803,478.326
804,478.922
805,479.518
806,480.114
807,480.711
808,481.307
809,481.903
810,482.499
811,483.095
812,483.692
813,484.288
814,484.884
815,485.48
816,486.077
817,486.673
818,487.269
819,487.865
820,488.461
821,489.058
822,489.654
823,490.25
824,490.846
825,491.442
826,492.039
827,492.635
828,493.231
829,493.827
830,494.424
831,495.02
832,495.616
833,496.212
834,496.808
835,497.405
836,498.001
837,498.597
838,499.193
839,499.79
840,500.386
841,500.981
842,501.577
843,502.173
844,502.769
845,503.364
846,503.96
847,504.556
848,505.152
849,505.747
850,506.343
851,506.939
852,507.535
853,508.131
854,508.726
855,509.322
856,509.918
857,510.514
858,511.109
859,511.705
860,512.301
861,512.897
862,513.493
863,514.088
864,514.684
865,515.28
866,515.876
867,516.471
868,517.067
869,517.663
870,518.259
871,518.854
872,519.45
873,520.046
874,520.642
875,521.238
876,521.833
877,522.429
878,523.025
879,523.621
880,524.216
881,524.812
882,525.408
883,526.004
884,526.599
885,527.195
886,527.791
887,528.387
888,528.983
889,529.578
890,530.174
891,530.77
