CHANNEL,INPUT [mV]
1,1.026
2,2.169
3,3.312
4,4.455
5,5.598
6,6.741
7,7.883
8,9.026
9,10.169
10,11.312
11,12.455
12,13.598
13,14.741
14,15.884
15,17.027
16,18.17
17,19.313
18,20.456
19,21.599
20,22.742
21,23.885
22,25.028
23,26.17
24,27.313
25,28.456
26,29.599
27,30.742
28,31.885
29,33.028
30,34.171
31,35.314
32,36.457
33,37.6
34,38.743
35,39.886
36,41.029
37,42.172
38,43.314
39,44.457
40,45.6
41,46.743
42,47.886
43,49.029
44,50.177
45,51.353
46,52.53
47,53.706
48,54.883
49,56.059
50,57.235
51,58.412
52,59.588
53,60.764
54,61.941
55,63.117
56,64.293
57,65.47
58,66.646
59,67.823
60,68.999
61,70.175
62,71.352
63,72.528
64,73.704
65,74.881
66,76.057
67,77.233
68,78.41
69,79.586
70,80.763
71,81.939
72,83.115
73,84.292
74,85.468
75,86.644
76,87.821
77,88.997
78,90.173
79,91.35
80,92.526
81,93.703
82,94.879
83,96.055
84,97.232
85,98.408
86,99.584
87,100.758
88,101.931
89,103.104
90,104.277
91,105.45
92,106.623
93,107.796
94,108.969
95,110.142
96,111.315
97,112.488
98,113.661
99,114.834
100,116.007
101,117.18
102,118.353
103,119.526
104,120.699
105,121.872
106,123.045
107,124.218
108,125.391
109,126.564
110,127.737
111,128.91
112,130.083
113,131.256
114,132.429
115,133.602
116,134.775
117,135.948
118,137.121
119,138.294
120,139.467
121,140.64
122,141.813
123,142.985
124,144.158
125,145.331
126,146.504
127,147.677
128,148.85
129,150.023
130,151.196
131,152.369
132,153.542
133,154.715
134,155.888
135,157.061
136,158.234
137,159.407
138,160.58
139,161.753
140,162.926
141,164.099
142,165.272
143,166.445
144,167.618
145,168.791
146,169.964
147,171.137
148,172.31
149,173.483
150,174.656
151,175.829
152,177.002
153,178.175
154,179.348
155,180.521
156,181.694
157,182.867
158,184.039
159,185.212
160,186.385
161,187.558
162,188.731
163,189.904
164,191.077
165,192.25
166,193.423
167,194.596
168,195.769
169,196.942
170,198.115
171,199.288
172,200.459
173,201.627
174,202.795
175,203.963
176,205.131
177,206.299
178,207.467
179,208.636
180,209.804
181,210.972
182,212.14
183,213.308
184,214.476
185,215.644
186,216.812
187,217.98
188,219.148
189,220.316
190,221.484
191,222.652
192,223.82
193,224.988
194,226.156
195,227.324
196,228.492
197,229.66
198,230.828
199,231.997
200,233.165
201,234.333
202,235.501
203,236.669
204,237.837
205,239.005
206,240.173
207,241.341
208,242.509
209,243.677
210,244.845
211,246.013
212,247.181
213,248.349
214,249.517
215,250.685
216,251.853
217,253.021
218,254.19
219,255.358
220,256.526
221,257.694
222,258.862
223,260.03
224,261.198
225,262.366
226,263.534
227,264.702
228,265.87
229,267.038
230,268.206
231,269.374
232,270.542
233,271.71
234,272.878
235,274.046
236,275.214
237,276.383
238,277.551
239,278.719
240,279.887
241,281.055
242,282.223
243,283.391
244,284.559
245,285.727
246,286.895
247,288.063
248,289.231
249,290.399
250,291.567
251,292.735
252,293.903
253,295.071
254,296.239
255,297.407
256,298.575
257,299.744
258,300.916
259,302.089
260,303.262
261,304.435
262,305.608
263,306.781
264,307.954
265,309.127
266,310.3
267,311.473
268,312.646
269,313.819
270,314.992
271,316.165
272,317.338
273,318.511
274,319.685
275,320.858
276,322.031
277,323.204
278,324.377
279,325.55
280,326.723
281,327.896
282,329.069
283,330.242
284,331.415
285,332.588
286,333.761
287,334.934
288,336.107
289,337.281
290,338.454
291,339.627
292,340.8
293,341.973
294,343.146
295,344.319
296,345.492
297,346.665
298,347.838
299,349.011
300,350.184
301,351.357
302,352.53
303,353.703
304,354.876
305,356.05
306,357.223
307,358.396
308,359.569
309,360.742
310,361.915
311,363.088
312,364.261
313,365.434
314,366.607
315,367.78
316,368.953
317,370.126
318,371.299
319,372.472
320,373.646
321,374.819
322,375.992
323,377.165
324,378.338
325,379.511
326,380.684
327,381.857
328,383.03
329,384.203
330,385.376
331,386.549
332,387.722
333,388.895
334,390.068
335,391.241
336,392.415
337,393.588
338,394.761
339,395.934
340,397.107
341,398.28
342,399.453
343,400.626
344,401.8
345,402.974
346,404.147
347,405.321
348,406.495
349,407.669
350,408.842
351,410.016
352,411.19
353,412.363
354,413.537
355,414.711
356,415.885
357,417.058
358,418.232
359,419.406
360,420.579
361,421.753
362,422.927
363,424.101
364,425.274
365,426.448
366,427.622
367,428.795
368,429.969
369,431.143
370,432.317
371,433.49
372,434.664
373,435.838
374,437.011
375,438.185
376,439.359
377,440.533
378,441.706
379,442.88
380,444.054
381,445.227
382,446.401
383,447.575
384,448.749
385,449.922
386,451.096
387,452.27
388,453.443
389,454.617
390,455.791
391,456.965
392,458.138
393,459.312
394,460.486
395,461.659
396,462.833
397,464.007
398,465.181
399,466.354
400,467.528
401,468.702
402,469.875
403,471.049
404,472.223
405,473.397
406,474.57
407,475.744
