CHANNEL,INPUT [mV]
1,0.058
2,0.196
3,0.335
4,0.474
5,0.613
6,0.752
7,0.89
8,1.029
9,1.168
10,1.307
11,1.445
12,1.584
13,1.723
14,1.862
15,2.001
16,2.139
17,2.278
18,2.417
19,2.556
20,2.694
21,2.833
22,2.972
23,3.111
24,3.25
25,3.388
26,3.527
27,3.666
28,3.805
29,3.943
30,4.082
31,4.221
32,4.36
33,4.499
34,4.637
35,4.776
36,4.915
37,5.054
38,5.192
39,5.331
40,5.47
41,5.609
42,5.748
43,5.886
44,6.025
45,6.164
46,6.303
47,6.441
48,6.58
49,6.719
50,6.858
51,6.997
52,7.135
53,7.274
54,7.413
55,7.552
56,7.69
57,7.829
58,7.968
59,8.107
60,8.246
61,8.384
62,8.523
63,8.662
64,8.801
65,8.939
66,9.078
67,9.217
68,9.356
69,9.495
70,9.633
71,9.772
72,9.911
73,10.05
74,10.188
75,10.327
76,10.466
77,10.605
78,10.744
79,10.882
80,11.021
81,11.16
82,11.299
83,11.437
84,11.576
85,11.715
86,11.854
87,11.993
88,12.131
89,12.27
90,12.409
91,12.548
92,12.686
93,12.825
94,12.964
95,13.103
96,13.242
97,13.38
98,13.519
99,13.658
100,13.797
101,13.935
102,14.074
103,14.213
104,14.352
105,14.491
106,14.629
107,14.768
108,14.907
109,15.046
110,15.184
111,15.323
112,15.462
113,15.601
114,15.74
115,15.878
116,16.017
117,16.156
118,16.295
119,16.433
120,16.572
121,16.711
122,16.85
123,16.989
124,17.127
125,17.266
126,17.405
127,17.544
128,17.682
129,17.821
130,17.96
131,18.099
132,18.238
133,18.376
134,18.515
135,18.654
136,18.793
137,18.931
138,19.07
139,19.209
140,19.348
141,19.487
142,19.625
143,19.764
144,19.903
145,20.042
146,20.182
147,20.323
148,20.463
149,20.603
150,20.743
151,20.883
152,21.024
153,21.164
154,21.304
155,21.444
156,21.585
157,21.725
158,21.865
159,22.005
160,22.145
161,22.286
162,22.426
163,22.566
164,22.706
165,22.847
166,22.987
167,23.127
168,23.267
169,23.407
170,23.548
171,23.688
172,23.828
173,23.968
174,24.109
175,24.249
176,24.389
177,24.529
178,24.669
179,24.81
180,24.95
181,25.09
182,25.23
183,25.371
184,25.511
185,25.651
186,25.791
187,25.931
188,26.072
189,26.212
190,26.352
191,26.492
192,26.632
193,26.773
194,26.913
195,27.053
196,27.193
197,27.334
198,27.474
199,27.614
200,27.754
201,27.894
202,28.035
203,28.175
204,28.315
205,28.455
206,28.596
207,28.736
208,28.876
209,29.016
210,29.156
211,29.297
212,29.437
213,29.577
214,29.717
215,29.858
216,29.998
217,30.138
218,30.278
219,30.418
220,30.557
221,30.697
222,30.837
223,30.977
224,31.117
225,31.257
226,31.397
227,31.537
228,31.677
229,31.817
230,31.956
231,32.096
232,32.236
233,32.376
234,32.516
235,32.656
236,32.796
237,32.936
238,33.076
239,33.216
240,33.355
241,33.495
242,33.635
243,33.775
244,33.915
245,34.055
246,34.195
247,34.335
248,34.475
249,34.615
250,34.754
251,34.894
252,35.034
253,35.174
254,35.314
255,35.454
256,35.594
257,35.734
258,35.874
259,36.014
260,36.153
261,36.293
262,36.433
263,36.573
264,36.713
265,36.853
266,36.993
267,37.133
268,37.273
269,37.413
270,37.553
271,37.692
272,37.832
273,37.972
274,38.112
275,38.252
276,38.392
277,38.532
278,38.672
279,38.812
280,38.952
281,39.091
282,39.231
283,39.371
284,39.511
285,39.651
286,39.791
287,39.931
288,40.071
289,40.211
290,40.35
291,40.49
292,40.63
293,40.77
294,40.91
295,41.05
296,41.19
297,41.33
298,41.469
299,41.609
300,41.749
301,41.889
302,42.029
303,42.169
304,42.309
305,42.449
306,42.588
307,42.728
308,42.868
309,43.008
310,43.148
311,43.288
312,43.428
313,43.568
314,43.707
