CHANNEL,INPUT [mV]
1,-0.115
2,0.15
3,0.415
4,0.681
5,0.946
6,1.211
7,1.476
8,1.741
9,2.007
10,2.272
11,2.537
12,2.802
13,3.068
14,3.333
15,3.598
16,3.863
17,4.129
18,4.394
19,4.659
20,4.924
21,5.189
22,5.455
23,5.72
24,5.985
25,6.25
26,6.516
27,6.781
28,7.046
29,7.311
30,7.576
31,7.842
32,8.107
33,8.372
34,8.637
35,8.903
36,9.168
37,9.433
38,9.698
39,9.964
40,10.229
41,10.494
42,10.759
43,11.024
44,11.29
45,11.555
46,11.82
47,12.085
48,12.351
49,12.616
50,12.881
51,13.146
52,13.412
53,13.677
54,13.942
55,14.207
56,14.472
57,14.738
58,15.003
59,15.268
60,15.533
61,15.799
62,16.064
63,16.329
64,16.594
65,16.86
66,17.125
67,17.39
68,17.655
69,17.92
70,18.186
71,18.451
72,18.716
73,18.981
74,19.247
75,19.512
76,19.777
77,20.042
78,20.307
79,20.573
80,20.838
81,21.103
82,21.368
83,21.634
84,21.899
85,22.164
86,22.429
87,22.695
88,22.96
89,23.225
90,23.49
91,23.755
92,24.021
93,24.286
94,24.551
95,24.816
96,25.082
97,25.347
98,25.612
99,25.877
100,26.143
101,26.408
102,26.673
103,26.938
104,27.203
105,27.469
106,27.734
107,27.999
108,28.264
109,28.53
110,28.795
111,29.06
112,29.325
113,29.591
114,29.856
115,30.121
116,30.386
117,30.651
118,30.917
119,31.182
120,31.447
121,31.712
122,31.978
123,32.243
124,32.508
125,32.773
126,33.038
127,33.304
128,33.569
129,33.834
130,34.099
131,34.365
132,34.63
133,34.895
134,35.16
135,35.426
136,35.691
137,35.956
138,36.221
139,36.486
140,36.752
141,37.017
142,37.282
143,37.547
144,37.813
145,38.078
146,38.343
147,38.608
148,38.874
149,39.139
150,39.404
151,39.669
152,39.934
153,40.2
154,40.465
155,40.73
156,40.995
157,41.261
158,41.526
159,41.791
160,42.056
161,42.322
162,42.587
163,42.852
164,43.117
165,43.382
166,43.648
167,43.913
168,44.178
169,44.443
170,44.709
171,44.974
172,45.239
173,45.504
174,45.769
175,46.035
176,46.3
177,46.565
178,46.83
179,47.096
180,47.361
181,47.626
182,47.891
183,48.157
184,48.422
185,48.687
186,48.952
187,49.217
188,49.483
189,49.748
190,50.013
191,50.278
192,50.544
193,50.809
194,51.074
195,51.34
196,51.605
197,51.87
198,52.135
199,52.401
200,52.666
201,52.931
202,53.196
